ch1;-82.932915;ch2;-92.528786;-9.595871
ch1;-82.618057;ch2;-92.470566;-9.852509
ch1;-82.558693;ch2;-92.698586;-10.139893
ch1;-82.95752;ch2;-93.282234;-10.324714
ch1;-83.114586;ch2;-93.506973;-10.392387
ch1;-83.149353;ch2;-93.707664;-10.558311
ch1;-83.196838;ch2;-93.815384;-10.618546
ch1;-83.271805;ch2;-94.072739;-10.800934
ch1;-83.312569;ch2;-94.332947;-11.020378
ch1;-83.433311;ch2;-94.548668;-11.115357
ch1;-83.525146;ch2;-94.539368;-11.014222
ch1;-83.584648;ch2;-94.316925;-10.732277
ch1;-83.36808;ch2;-94.206772;-10.838692
ch1;-83.015739;ch2;-94.54924;-11.533501
ch1;-82.899872;ch2;-94.775688;-11.875816
ch1;-83.064095;ch2;-94.812172;-11.748077
ch1;-83.471786;ch2;-94.653381;-11.181595
ch1;-83.441032;ch2;-94.563545;-11.122513
ch1;-83.249344;ch2;-94.375862;-11.126518
ch1;-82.96682;ch2;-94.624481;-11.657661
ch1;-82.663696;ch2;-94.785561;-12.121865
ch1;-82.712616;ch2;-94.793434;-12.080818
ch1;-82.990273;ch2;-94.744507;-11.754234
ch1;-83.071098;ch2;-94.588295;-11.517197
ch1;-83.308998;ch2;-94.481003;-11.172005
ch1;-82.56842;ch2;-94.480431;-11.912011
ch1;-82.474869;ch2;-94.330658;-11.855789
ch1;-82.422653;ch2;-94.272865;-11.850212
ch1;-82.40863;ch2;-94.203056;-11.794426
ch1;-82.244408;ch2;-94.267426;-12.023018
ch1;-82.155144;ch2;-94.356262;-12.201118
ch1;-82.122101;ch2;-94.149414;-12.027313
ch1;-81.686508;ch2;-93.991058;-12.30455
ch1;-81.831276;ch2;-93.858299;-12.027023
ch1;-82.179031;ch2;-93.811386;-11.632355
ch1;-82.140129;ch2;-93.936409;-11.79628
ch1;-82.524643;ch2;-93.98233;-11.457687
ch1;-82.22467;ch2;-94.432076;-12.207406
ch1;-82.267006;ch2;-94.785416;-12.51841
ch1;-82.335098;ch2;-94.974678;-12.63958
ch1;-82.388741;ch2;-95.416267;-13.027526
ch1;-82.582726;ch2;-95.490234;-12.907508
ch1;-82.247124;ch2;-95.209854;-12.96273
ch1;-81.977623;ch2;-95.205421;-13.227798
ch1;-81.322731;ch2;-94.638786;-13.316055
